City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,talcahuano,-36.7167,-73.1167,55.4,58,0,5.75,CL,1613825233
228,xuddur,4.1213,43.8894,94.73,22,100,12.21,SO,1613824938
229,vila velha,-20.3297,-40.2925,78.8,89,90,6.91,BR,1613824770
230,kidal,18.4411,1.4078,85.12,11,82,12.12,ML,1613825233
231,kadirli,37.3739,36.0961,54.0,30,0,4.05,TR,1613825234
232,sumbe,-11.2061,13.8437,84.0,57,100,10.85,AO,1613825234
233,madinat sittah uktubar,29.8167,31.05,64.4,36,40,9.22,EG,1613825234
234,salalah,17.0151,54.0924,78.8,57,20,6.91,OM,1613824713
235,cozumel,20.5083,-86.9458,71.6,83,75,18.41,MX,1613824778
236,cape town,-33.9258,18.4232,73.99,43,75,10.36,ZA,1613824793
237,priego de cordoba,37.4381,-4.1952,71.6,23,40,12.66,ES,1613825236
238,ucluelet,48.9329,-125.5528,34.0,92,100,7.09,CA,1613824883
239,qeshm,26.9581,56.2719,77.0,57,75,11.5,IR,1613825236
240,havre-saint-pierre,50.2334,-63.5986,-5.8,77,90,2.3,CA,1613824925
241,mahebourg,-20.4081,57.7,84.2,74,40,16.11,MU,1613824753
242,georgetown,5.4112,100.3354,84.2,61,20,10.36,MY,1613824746
243,cochrane,51.1834,-114.4687,23.0,46,1,13.8,CA,1613825237
244,sarany,58.5,58.8833,1.45,93,100,5.84,RU,1613825237
245,coahuayana,18.7333,-103.6833,64.6,72,1,4.34,MX,1613824715
246,shizunai,42.3339,142.3669,32.11,89,97,24.36,JP,1613825217
247,nueva loja,0.0847,-76.8828,73.4,88,0,3.44,EC,1613825237
248,bethel,41.3712,-73.414,30.2,74,90,3.44,US,1613824695
249,necochea,-38.5473,-58.7368,66.0,54,31,4.0,AR,1613824572
250,acapulco,16.8634,-99.8901,70.45,54,0,4.47,MX,1613824500
251,shchigry,51.8755,36.9043,21.2,63,0,8.95,RU,1613825238
252,cherskiy,68.75,161.3,-33.84,84,57,2.17,RU,1613824758
253,korla,41.7597,86.1469,42.96,56,0,4.34,CN,1613824727
254,provideniya,64.3833,-173.3,-11.27,86,24,7.05,RU,1613824770
255,dixon,38.4455,-121.8233,45.0,70,1,8.05,US,1613825241
256,mayo,38.8876,-76.5119,28.4,59,1,11.5,US,1613825241
257,portland,45.5234,-122.6762,41.0,93,90,2.39,US,1613824497
258,kasur,31.1156,74.4467,77.0,47,73,4.61,PK,1613825241
259,pointe michel,15.25,-61.3833,77.0,65,40,8.05,DM,1613825241
260,khani,41.9563,42.9566,41.0,70,75,14.97,GE,1613825242
261,kosh-agach,50.0,88.6667,10.54,84,66,7.18,RU,1613824748
262,abu samrah,35.3029,37.1841,48.72,50,70,4.88,SY,1613825242
263,creston,41.0586,-94.3614,12.2,100,1,5.75,US,1613825242
